kepid,kepoi_name,kepler_name,koi_disposition,koi_prad,koi_period,koi_teq,koi_srad,koi_steff,koi_tce_plnt_num
2556650,"K02156.01","Kepler-1124 b","CONFIRMED",1.66,2.852348262,621.0,0.4330,3731.00,1
10600955,"K02227.01","Kepler-1151 b","CONFIRMED",3.93,65.6480892,485.0,1.2460,5565.00,1
10801100,"K02228.01",,"FALSE POSITIVE",39.16,102.653705,562.0,1.6980,6711.00,1
4473226,"K02229.01","Kepler-1682 b","CONFIRMED",2.54,14.83340944,694.0,0.9040,5570.00,1
8914779,"K02230.01",,"FALSE POSITIVE",0.98,0.987338654,2669.0,1.8960,6258.00,1
2854181,"K02232.01","Kepler-1810 b","CONFIRMED",3.87,101.1323475,380.0,1.0160,5492.00,1
8963721,"K02233.01",,"FALSE POSITIVE",2.83,1.811460943,1508.0,1.0080,5700.00,1
10132832,"K02313.01","Kepler-1186 b","CONFIRMED",2.14,16.07673148,724.0,0.9710,5957.00,1
3219995,"K02314.01","Kepler-1187 b","CONFIRMED",2.67,18.87058705,701.0,0.9490,6103.00,1
6062929,"K02315.01","Kepler-1822 b","CONFIRMED",1.76,22.1334224,507.0,0.7020,5165.00,1
7504778,"K02316.01","Kepler-1188 b","CONFIRMED",2.05,17.1369408,775.0,1.0770,6218.00,1
7219825,"K00238.02","Kepler-123 c","CONFIRMED",1.4,26.6951944,706.0,1.2160,6086.00,3
7097965,"K02083.01","Kepler-1791 b","CONFIRMED",2.53,7.72085047,1021.0,1.1770,5887.00,1
4249725,"K00222.01","Kepler-120 b","CONFIRMED",2,6.312508525,575.0,0.5710,4090.00,1
3967326,"K02084.01","Kepler-1792 b","CONFIRMED",3.02,4.19577385,1047.0,1.0050,5229.00,1
6768394,"K02086.01","Kepler-60 b","CONFIRMED",1.64,7.1329472,1102.0,1.3070,5862.00,2
6768394,"K02086.02","Kepler-60 c","CONFIRMED",1.84,8.91901228,1023.0,1.3070,5862.00,1
5211199,"K02158.01","Kepler-1800 b","CONFIRMED",2.82,4.5620407,1533.0,2.5060,5343.00,1
8804455,"K02159.01",,"CANDIDATE",1.32,7.5966998,964.0,1.0910,5716.00,2
8804455,"K02159.02",,"FALSE POSITIVE",1.33,2.392630668,1418.0,1.0910,5716.00,1
5546761,"K02160.01","Kepler-1125 b","CONFIRMED",2.89,17.6700291,778.0,1.2470,5795.00,1
5546761,"K02160.02",,"CANDIDATE",,15.40877383,,,,
9205938,"K02162.01","Kepler-1126 b","CONFIRMED",1.68,108.593113,374.0,0.9210,5678.00,1
10723367,"K02236.01","Kepler-375 c","CONFIRMED",4.22,19.9865916,720.0,1.2380,5500.00,1
10723367,"K02236.02","Kepler-375 b","CONFIRMED",2.5,12.12580644,851.0,1.2380,5500.00,2
5005121,"K02237.01","Kepler-1811 b","CONFIRMED",2.81,76.421501,455.0,1.1900,5561.00,1
4833421,"K00232.05","Kepler-122 f","CONFIRMED",2.22,56.2590881,543.0,1.1910,6038.00,5
8229458,"K02238.01","Kepler-1152 b","CONFIRMED",0.86,1.646801683,806.0,0.5130,3810.00,1
10684670,"K02317.01","Kepler-1189 b","CONFIRMED",1.23,3.78861833,1158.0,1.0400,5560.00,1
11495458,"K02318.01","Kepler-1190 b","CONFIRMED",1.25,10.45839865,609.0,0.7470,4641.00,1
9003401,"K02319.01","Kepler-1823 b","CONFIRMED",1.56,21.1033014,718.0,1.1260,6000.00,1
5978559,"K02321.01","Kepler-1824 b","CONFIRMED",2.37,95.6114617,421.0,1.0810,6002.00,1
8872048,"K02323.01",,"CANDIDATE",,58.35512552,,,,
7746958,"K02324.01",,"CANDIDATE",1.55,1.204686597,1711.0,1.0000,5780.00,1
6768394,"K02086.03","Kepler-60 d","CONFIRMED",1.69,11.8984948,929.0,1.3070,5862.00,3
6922710,"K02087.01","Kepler-1088 b","CONFIRMED",1.44,23.1274171,667.0,1.0660,5865.00,1
11348997,"K02090.01","Kepler-1089 b","CONFIRMED",1.69,5.132486123,584.0,0.5780,3879.00,1
5705819,"K02091.01","Kepler-1793 b","CONFIRMED",2.12,8.77997349,713.0,0.7640,5191.00,1
6696580,"K02092.01","Kepler-359 c","CONFIRMED",5.14,57.6896212,512.0,1.0490,6228.00,1
11358389,"K02163.01","Kepler-365 b","CONFIRMED",1.76,10.66489514,865.0,1.0210,6014.00,1
7204981,"K02164.01","Kepler-1127 b","CONFIRMED",1.65,5.1233204,994.0,0.9820,5364.00,1
3847907,"K00229.01","Kepler-497 b","CONFIRMED",5.81,3.573202801,1210.0,1.0800,5646.00,1
4370527,"K02166.01","Kepler-1128 b","CONFIRMED",3.36,61.6174528,424.0,0.9310,5480.00,1
6041734,"K02167.01","Kepler-1129 b","CONFIRMED",5.09,24.3398202,737.0,1.4660,5596.00,1
5125347,"K02241.01","Kepler-1812 b","CONFIRMED",2.31,7.16520428,1034.0,1.1030,6174.00,1
9336200,"K02242.01","Kepler-1153 b","CONFIRMED",1.94,1.755843555,1343.0,0.8290,5569.00,1
4770617,"K02243.01","Kepler-1154 b","CONFIRMED",2.34,5.18560081,1314.0,1.4710,6172.00,1
4454934,"K02245.01","Kepler-1155 b","CONFIRMED",2.45,33.4698571,609.0,1.0940,5912.00,1
9458343,"K02246.01","Kepler-1156 b","CONFIRMED",1.33,11.89520436,787.0,0.9920,5649.00,1
7120108,"K02325.01","Kepler-1825 b","CONFIRMED",1.57,1.025857984,1520.0,0.8470,5123.00,1
10730703,"K02327.01","Kepler-1191 b","CONFIRMED",1.73,5.60013327,952.0,0.9780,5288.00,1
8007644,"K02328.01","Kepler-1192 b","CONFIRMED",2.42,25.2034128,600.0,0.9210,5831.00,1
11192235,"K02329.01","Kepler-1826 b","CONFIRMED",1.37,1.615357809,806.0,0.4860,3821.00,1
6383785,"K00239.01","Kepler-501 b","CONFIRMED",4.59,5.640676975,1125.0,1.2160,5794.00,1
6696580,"K02092.02","Kepler-359 b","CONFIRMED",4,25.5638626,671.0,1.0490,6228.00,2
6525946,"K02093.01",,"CANDIDATE",20.75,6.78341325,2628.0,8.7690,5096.00,1
4249725,"K00222.02","Kepler-120 c","CONFIRMED",1.6,12.7945474,455.0,0.5710,4090.00,2
8505920,"K02094.01","Kepler-1090 c","CONFIRMED",3.44,42.4269647,496.0,1.0130,5330.00,1
7918992,"K02095.01","Kepler-1091 b","CONFIRMED",1.5,1.434745129,1664.0,1.0640,5806.00,1
